sname_0,name_1,mother_2,birthday_3,birthmonth_4,birthdate_5,matgroup_6,currentgroup_7,sex_8,birthyear_9,mom_10,dad_11,father_12,conceptiondate_13,concepday_14,conceptmonth_15,conceptyear_16,momgrp_17,dadgrp_18
PAN,PANGO   ,Pindua  ,11,NOV,11/11/1986,Hook's   ,unknown  ,Female  ,1986,PIN,unknown, ------,13/05/1986,13,MAY,1986,2,unknown
ICA,ICARUS  ,unknown ,29,NOV,29/11/1986,immigrant,unknown  ,Male    ,1986,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MEL,MELOK   ,Mali    ,27,DEC,27/12/1986,Lodge    ,unknown  ,Female  ,1986,MAL,RAD,Radi    ,22/06/1986,22,JUN,1986,3,3
TIT,TITO    ,Sister  ,31,DEC,31/12/1986,Hook's   ,unknown  ,Female  ,1986,SIS,unknown, ------,01/07/1986,1,JUL,1986,2,unknown
MOR,MORRIS  ,unknown ,1,JAN,01/01/1987,immigrant,unknown  ,Male    ,1987,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
GWI,GWIJI   ,Gin     ,3,JAN,03/01/1987,Alto's   ,unknown  ,Female  ,1987,GIN,unknown, ------,06/07/1986,6,JUL,1986,1,unknown
PIS,PISTON  ,unknown ,6,JAN,06/01/1987,immigrant,unknown  ,Male    ,1987,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
SID,SIDAI   ,Safi    ,16,JAN,16/01/1987,Alto's   ,unknown  ,Female  ,1987,SAF,unknown, ------,30/07/1986,30,JUL,1986,1,unknown
RIT,RITA    ,Rembo   ,12,FEB,12/02/1987,Lodge    ,unknown  ,Female  ,1987,REM,RAD,Radi    ,14/08/1986,14,AUG,1986,3,3
CAN,CANDY   ,Summer  ,31,MAR,31/03/1987,Alto's   ,unknown  ,Female  ,1987,SUM,unknown, ------,09/10/1986,9,OCT,1986,1,unknown
VOR,VORTEX  ,Vixen   ,1,APR,01/04/1987,Alto's   ,unknown  ,Female  ,1987,VIX,unknown, ------,08/10/1986,8,OCT,1986,1,unknown
DIR,DIRA    ,Dada    ,13,APR,13/04/1987,Lodge    ,unknown  ,Female  ,1987,DAD,RAD,Radi    ,14/10/1986,14,OCT,1986,3,3
OLG,OLGA    ,Oreo    ,30,APR,30/04/1987,Alto's   ,unknown  ,Female  ,1987,ORE,unknown, ------,24/10/1986,24,OCT,1986,1,unknown
ZIN,ZINC    ,unknown ,9,MAY,09/05/1987,immigrant,unknown  ,Male    ,1987,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
HAK,HAKI    ,Handle  ,3,JUN,03/06/1987,Alto's   ,unknown  ,Male    ,1987,HAN,unknown, ------,15/12/1986,15,DEC,1986,1,unknown
IND,INDIA   ,unknown ,19,JUN,19/06/1987,immigrant,unknown  ,Male    ,1987,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
CLO,CLOUD   ,unknown ,22,JUN,22/06/1987,Olkenya  ,unknown  ,Male    ,1987,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
IMP,IMPALA  ,unknown ,22,JUN,22/06/1987,Olkenya  ,unknown  ,Male    ,1987,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
JON,JONNY   ,unknown ,22,JUN,22/06/1987,Olkenya  ,unknown  ,Male    ,1987,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
RHI,RHINO   ,unknown ,22,JUN,22/06/1987,Olkenya  ,unknown  ,Male    ,1987,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
EDW,EDWARD  ,unknown ,6,JUL,06/07/1987,immigrant,unknown  ,Male    ,1987,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
ALA,ALASKA  ,unknown ,6,JUL,06/07/1987,Olkenya  ,unknown  ,Male    ,1987,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
EBO,EBONY   ,unknown ,6,JUL,06/07/1987,Olkenya  ,unknown  ,Male    ,1987,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
CAL,CALIPH  ,Scherzo ,11,JUL,11/07/1987,Alto's   ,unknown  ,Male    ,1987,SCH,unknown, ------,14/01/1987,14,JAN,1987,1,unknown
JIK,JIK     ,Juha    ,2,AUG,02/08/1987,Lodge    ,unknown  ,Male    ,1987,JUH,RAD,Radi    ,04/02/1987,4,FEB,1987,3,3
BWA,BWANA   ,Binti   ,5,AUG,05/08/1987,Lodge    ,unknown  ,Male    ,1987,BIN,NUG,Nugu    ,10/02/1987,10,FEB,1987,3,3
PRI,PRIMO   ,Prudy   ,6,AUG,06/08/1987,Hook's   ,unknown  ,Male    ,1987,PRU,unknown, ------,20/02/1987,20,FEB,1987,2,unknown
UNG,UNGA    ,Umbo    ,14,AUG,14/08/1987,Lodge    ,unknown  ,Male    ,1987,UMB,RAD,Radi    ,16/02/1987,16,FEB,1987,3,3
WEN,WENDY   ,Wema    ,25,AUG,25/08/1987,Hook's   ,unknown  ,Female  ,1987,WEM,unknown, ------,27/02/1987,27,FEB,1987,2,unknown
FIM,FIMBI   ,unknown ,5,SEP,05/09/1987,immigrant,unknown  ,Male    ,1987,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
NAY,NAYE    ,Nee     ,7,SEP,07/09/1987,Hook's   ,unknown  ,Male    ,1987,NEE,unknown, ------,14/03/1987,14,MAR,1987,2,unknown
MLO,MLOZI   ,Moja    ,8,SEP,08/09/1987,Hook's   ,unknown  ,Male    ,1987,MOJ,unknown, ------,17/03/1987,17,MAR,1987,2,unknown
NAC,NACHOS  ,Ndoa    ,11,OCT,11/10/1987,Lodge    ,unknown  ,Male    ,1987,NDO,unknown, ------,15/04/1987,15,APR,1987,3,unknown
VAR,VARMINT ,Vera    ,19,OCT,19/10/1987,Alto's   ,unknown  ,Male    ,1987,VER,unknown, ------,27/04/1987,27,APR,1987,1,unknown
PEL,PELE    ,Penny   ,26,OCT,26/10/1987,Hook's   ,unknown  ,Female  ,1987,PEN,unknown, ------,04/05/1987,4,MAY,1987,2,unknown
DAL,DALLAS  ,Dotty   ,26,OCT,26/10/1987,Alto's   ,unknown  ,Male    ,1987,DOT,unknown, ------,26/04/1987,26,APR,1987,1,unknown
SPU,SPUTNIK ,Spetter ,31,OCT,31/10/1987,Alto's   ,unknown  ,Male    ,1987,SPE,unknown, ------,08/05/1987,8,MAY,1987,1,unknown
EGR,EGRET   ,Eno     ,15,NOV,15/11/1987,Alto's   ,unknown  ,Female  ,1987,ENO,unknown, ------,25/05/1987,25,MAY,1987,1,unknown
SUN,SUNBIRD ,Siku    ,5,DEC,05/12/1987,Alto's   ,unknown  ,Female  ,1987,SIK,unknown, ------,08/06/1987,8,JUN,1987,1,unknown
WEA,WEAVER  ,Whiskey ,17,DEC,17/12/1987,Hook's   ,unknown  ,Female  ,1987,WHI,NEL,Nelson  ,26/06/1987,26,JUN,1987,2,2
LAR,LARK    ,Lona    ,23,DEC,23/12/1987,Hook's   ,unknown  ,Female  ,1987,LON,CUI,Chui    ,26/06/1987,26,JUN,1987,2,2
MOL,MOLLOY  ,Mali    ,1,JAN,01/01/1988,Lodge    ,unknown  ,Male    ,1988,MAL,unknown, ------,26/06/1987,26,JUN,1987,3,unknown
VEG,VEGAS   ,unknown ,6,JAN,06/01/1988,immigrant,unknown  ,Male    ,1988,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
NIG,NIGHTJAR,Nix     ,12,JAN,12/01/1988,Hook's   ,unknown  ,Female  ,1988,NIX,CUI,Chui    ,16/07/1987,16,JUL,1987,2,2
LUK,LUKE    ,Linda   ,14,JAN,14/01/1988,Hook's   ,unknown  ,Male    ,1988,LIN,unknown, ------,28/07/1987,28,JUL,1987,2,unknown
JNB,JANUBIS ,unknown ,20,JAN,20/01/1988,immigrant,unknown  ,Male    ,1988,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
RIO,RIO     ,Raha    ,26,JAN,26/01/1988,Lodge    ,unknown  ,Female  ,1988,RAH,unknown, ------,08/08/1987,8,AUG,1987,3,unknown
JAZ,JAZZ    ,Juu     ,30,JAN,30/01/1988,Lodge    ,unknown  ,Female  ,1988,JUU,unknown, ------,07/08/1987,7,AUG,1987,3,unknown
CAS,CASEY   ,Scion   ,5,FEB,05/02/1988,Alto's   ,unknown  ,Female  ,1988,SCI,unknown, ------,03/08/1987,3,AUG,1987,1,unknown
JUN,JUNE    ,Janet   ,4,MAR,04/03/1988,Alto's   ,unknown  ,Male    ,1988,JNT,unknown, ------,12/09/1987,12,SEP,1987,1,unknown
REF,REFU    ,Rembo   ,7,MAR,07/03/1988,Lodge    ,unknown  ,Male    ,1988,REM,RAD,Radi    ,05/09/1987,5,SEP,1987,3,3
DON,DONNA   ,unknown ,20,MAR,20/03/1988,Olkenya  ,unknown  ,Female  ,1988,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
KEN,KEN     ,Kupita  ,27,MAR,27/03/1988,Hook's   ,unknown  ,Male    ,1988,KPM,unknown, ------,04/10/1987,4,OCT,1987,2,unknown
KES,KESTREL ,Kupita  ,6,JUN,06/06/1988,Hook's   ,unknown  ,Female  ,1988,KUP,CUI,Chui    ,02/01/1988,2,JAN,1988,2,2
JOY,JOY     ,Jadu    ,17,JUN,17/06/1988,Lodge    ,unknown  ,Female  ,1988,JAD,RAD,Radi    ,23/12/1987,23,DEC,1987,3,3
TIN,TINKER  ,unknown ,19,JUN,19/06/1988,immigrant,unknown  ,Male    ,1988,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
YOY,YOYO    ,unknown ,19,JUN,19/06/1988,immigrant,unknown  ,Male    ,1988,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
DAB,DACRON  ,Dada    ,23,JUN,23/06/1988,Lodge    ,unknown  ,Male    ,1988,DAD,NUG,Nugu    ,02/01/1988,2,JAN,1988,3,3
SHY,SHYLOCK ,unknown ,28,JUN,28/06/1988,immigrant,unknown  ,Male    ,1988,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MCH,MCHANA  ,Mwezi   ,15,JUL,15/07/1988,Lodge    ,unknown  ,Male    ,1988,MWE,unknown, ------,21/01/1988,21,JAN,1988,3,unknown
UPY,UPYA    ,Umbo    ,21,JUL,21/07/1988,Lodge    ,unknown  ,Male    ,1988,UMB,unknown, ------,26/01/1988,26,JAN,1988,3,unknown
HOO,HOOPOE  ,Heidi   ,1,AUG,01/08/1988,Alto's   ,unknown  ,Female  ,1988,HEI,unknown, ------,04/02/1988,4,FEB,1988,1,unknown
ALE,ALEX     ,unknown ,1,AUG,01/08/1988,immigrant,unknown  ,Male    ,1988,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
ORL,ORLON   ,Oreo    ,20,AUG,20/08/1988,Alto's   ,unknown  ,Male    ,1988,ORE,GIZ,Giza    ,22/02/1988,22,FEB,1988,1,1
LAG,LAGOS   ,Lamu    ,22,AUG,22/08/1988,Hook's   ,unknown  ,Male    ,1988,LAM,unknown, ------,14/03/1988,14,MAR,1988,2,unknown
PIZ,PIZZA   ,Proton  ,15,SEP,15/09/1988,Alto's   ,unknown  ,Female  ,1988,PRO,unknown, ------,17/03/1988,17,MAR,1988,1,unknown
CHA,CHARLIE ,Scherzo ,16,SEP,16/09/1988,Alto's   ,unknown  ,Male    ,1988,SCH,unknown, ------,26/03/1988,26,MAR,1988,1,unknown
SAW,SAWA    ,Safi    ,18,SEP,18/09/1988,Alto's   ,unknown  ,Male    ,1988,SAF,TYC,Tycho   ,03/04/1988,3,APR,1988,1,1
JUA,JUA     ,Juha    ,20,SEP,20/09/1988,Lodge    ,unknown  ,Female  ,1988,JUH,unknown, ------,16/03/1988,16,MAR,1988,3,unknown
BEA,BEAM    ,Binti   ,6,OCT,06/10/1988,Lodge    ,unknown  ,Male    ,1988,BIN,unknown, ------,11/04/1988,11,APR,1988,3,unknown
SUJ,SUJI    ,unknown ,16,OCT,16/10/1988,immigrant,unknown  ,Male    ,1988,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
VEL,VELCRO  ,Vixen   ,3,NOV,03/11/1988,Alto's   ,unknown  ,Female  ,1988,VIX,unknown, ------,07/05/1988,7,MAY,1988,1,unknown
PAT,PATO    ,Pichka  ,4,NOV,04/11/1988,Alto's   ,unknown  ,Female  ,1988,PIC,unknown, ------,11/05/1988,11,MAY,1988,1,unknown
NZI,NZIGE   ,Ndoa    ,8,DEC,08/12/1988,Lodge    ,unknown  ,Female  ,1988,NDO,unknown, ------,14/06/1988,14,JUN,1988,3,unknown
VUT,VUTA    ,Vee     ,7,JAN,07/01/1989,Nyayo's  ,unknown  ,Female  ,1989,VEE,unknown, ------,12/07/1988,12,JUL,1988,1,unknown
UDA,UDAY    ,unknown ,7,JAN,07/01/1989,Olkenya  ,unknown  ,Male    ,1989,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
LOR,LORIS   ,Labda   ,10,FEB,10/02/1989,Hook's   ,unknown  ,Female  ,1989,LAB,unknown, ------,14/09/1988,14,SEP,1988,2,unknown
YOR,YORUBA  ,unknown ,18,FEB,18/02/1989,Stud's   ,unknown  ,Male    ,1989,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
IMA,IMAM    ,unknown ,2,MAR,02/03/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
ZIO,ZION    ,unknown ,5,MAR,05/03/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MET,META    ,Mali    ,10,MAR,10/03/1989,Lodge    ,unknown  ,Female  ,1989,MAL,unknown, ------,09/09/1988,9,SEP,1988,3,unknown
HAL,HALI    ,Handle  ,10,MAR,10/03/1989,Nyayo's  ,unknown  ,Female  ,1989,HAN,TYC,Tycho   ,18/09/1988,18,SEP,1988,1.1,1
POP,POPO    ,Prudy   ,18,MAR,18/03/1989,Hook's   ,unknown  ,Female  ,1989,PRU,unknown, ------,28/09/1988,28,SEP,1988,2,unknown
SER,SERAH   ,Sana    ,19,MAR,19/03/1989,Nyayo's  ,unknown  ,Female  ,1989,SAN,unknown, ------,23/09/1988,23,SEP,1988,1,unknown
DAV,DAVE    ,Dazi    ,1,APR,01/04/1989,Lodge    ,unknown  ,Male    ,1989,DAZ,unknown, ------,03/10/1988,3,OCT,1988,3,unknown
RIB,RIBA    ,Rembo   ,9,APR,09/04/1989,Lodge    ,unknown  ,Female  ,1989,REM,RAD,Radi    ,13/10/1988,13,OCT,1988,3,3
RIC,RICHIE  ,Reggae  ,22,APR,22/04/1989,Lodge    ,unknown  ,Male    ,1989,REG,unknown, ------,18/10/1988,18,OCT,1988,3,unknown
UTO,UTO     ,Umbo    ,6,MAY,06/05/1989,Lodge    ,unknown  ,Female  ,1989,UMB,RAD,Radi    ,02/11/1988,2,NOV,1988,3,3
SIT,SITA    ,Spetter ,24,MAY,24/05/1989,Proton's ,unknown  ,Female  ,1989,SPE,unknown, ------,29/11/1988,29,NOV,1988,1,unknown
IAG,IAGO    ,unknown ,26,JUN,26/06/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
APO,APOLLO  ,unknown ,29,JUN,29/06/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
KHA,KHAN    ,unknown ,4,JUL,04/07/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
ORB,ORBIT   ,unknown ,6,JUL,06/07/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
PLA,PLATO   ,unknown ,7,JUL,07/07/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
DIK,DIKDIK  ,Dada    ,11,JUL,11/07/1989,Lodge    ,unknown  ,Female  ,1989,DAD,unknown, ------,15/01/1989,15,JAN,1989,3,unknown
JUL,JULIE   ,Juu     ,16,JUL,16/07/1989,Lodge    ,unknown  ,Female  ,1989,JUU,unknown, ------,19/01/1989,19,JAN,1989,3,unknown
SHR,SHRIKE  ,Siku    ,18,JUL,18/07/1989,Proton's ,unknown  ,Male    ,1989,SIK,unknown, ------,17/01/1989,17,JAN,1989,1,unknown
WAF,WAFFLE  ,Wacha   ,26,JUL,26/07/1989,Hook's   ,unknown  ,Female  ,1989,WAC,unknown, ------,04/02/1989,4,FEB,1989,2,unknown
TSW,TSWANA  ,Sister  ,26,JUL,26/07/1989,Hook's   ,unknown  ,Male    ,1989,SIS,unknown, ------,06/02/1989,6,FEB,1989,2,unknown
DEP,DEPOT   ,unknown ,27,JUL,27/07/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
NGO,NGONG   ,Neena   ,29,JUL,29/07/1989,Hook's   ,unknown  ,Female  ,1989,NEE,unknown, ------,07/02/1989,7,FEB,1989,2,unknown
EMU,EMU     ,Eno     ,5,AUG,05/08/1989,Nyayo's  ,unknown  ,Male    ,1989,ENO,unknown, ------,05/02/1989,5,FEB,1989,1,unknown
CHR,CHRIS   ,Cheka   ,13,AUG,13/08/1989,Nyayo's  ,unknown  ,Male    ,1989,CHE,NEP,Neptune ,04/03/1989,4,MAR,1989,1,1
HYR,HYRAX   ,Heidi   ,17,AUG,17/08/1989,Nyayo's  ,unknown  ,Male    ,1989,HEI,NEP,Neptune ,24/02/1989,24,FEB,1989,1,1
HIL,HILDA   ,Heko    ,21,AUG,21/08/1989,Nyayo's  ,unknown  ,Female  ,1989,HEK,unknown, ------,24/02/1989,24,FEB,1989,1,unknown
PLO,PLOVER  ,Pwani   ,28,AUG,28/08/1989,Hook's   ,unknown  ,Female  ,1989,PWA,unknown, ------,05/03/1989,5,MAR,1989,2,unknown
NAD,NADO    ,Nyayo   ,31,AUG,31/08/1989,Nyayo's  ,unknown  ,Female  ,1989,NYA,TYC,Tycho   ,11/03/1989,11,MAR,1989,1,1
WAG,WAGTAIL ,Whiskey ,1,SEP,01/09/1989,Hook's   ,unknown  ,Female  ,1989,WHI,FAT,Fatso   ,07/03/1989,7,MAR,1989,2,2
LAP,LAPIS   ,Labda   ,4,SEP,04/09/1989,Hook's   ,unknown  ,Female  ,1989,LAB,unknown, ------,30/03/1989,30,MAR,1989,2,unknown
DRO,DRONGO  ,Dudu    ,13,SEP,13/09/1989,Nyayo's  ,unknown  ,Female  ,1989,DUD,NEP,Neptune ,22/03/1989,22,MAR,1989,1,1
WHY,WHYDAH  ,Waka    ,20,SEP,20/09/1989,Hook's   ,unknown  ,Male    ,1989,WAK,unknown, ------,20/04/1989,20,APR,1989,2,unknown
VOL,VOLTA   ,Vera    ,22,SEP,22/09/1989,Proton's ,unknown  ,Female  ,1989,VER,unknown, ------,27/03/1989,27,MAR,1989,1,unknown
LET,LETE    ,Lucy    ,27,SEP,27/09/1989,Hook's   ,unknown  ,Female  ,1989,LUC,unknown, ------,04/04/1989,4,APR,1989,2,unknown
DOV,DOVE    ,Dotty   ,6,OCT,06/10/1989,Dotty's  ,unknown  ,Female  ,1989,DOT,GIZ,Giza    ,06/04/1989,6,APR,1989,1,1
CHO,CHOMA   ,Scion   ,23,OCT,23/10/1989,Proton's ,unknown  ,Male    ,1989,SCI,unknown, ------,30/04/1989,30,APR,1989,1,unknown
FED,FEDHA   ,Fumbo   ,25,OCT,25/10/1989,Nyayo's  ,unknown  ,Female  ,1989,FUM,NEP,Neptune ,09/05/1989,9,MAY,1989,1,1
KUK,KUKU    ,Kathryn ,30,OCT,30/10/1989,Hook's   ,unknown  ,Male    ,1989,KAT,RUT,Ruto    ,19/05/1989,19,MAY,1989,2,2
MWI,MWISHO  ,Moja    ,2,NOV,02/11/1989,Hook's   ,unknown  ,Female  ,1989,MOJ,unknown, ------,14/05/1989,14,MAY,1989,2,unknown
JAG,JAGGER  ,unknown ,7,NOV,07/11/1989,immigrant,unknown  ,Male    ,1989,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
JOT,JOTO    ,Janet   ,12,NOV,12/11/1989,Proton's ,unknown  ,Female  ,1989,JNT,unknown, ------,14/05/1989,14,MAY,1989,1,unknown
KAZ,KAZA    ,Kupita  ,29,NOV,29/11/1989,Hook's   ,unknown  ,Female  ,1989,KUP,unknown, ------,08/06/1989,8,JUN,1989,2,unknown
ROY,ROY     ,Raha    ,5,DEC,05/12/1989,Lodge    ,unknown  ,Male    ,1989,RAH,unknown, ------,12/06/1989,12,JUN,1989,3,unknown
PES,PESA    ,Penny   ,13,DEC,13/12/1989,Hook's   ,unknown  ,Male    ,1989,PEN,RUT,Ruto    ,23/06/1989,23,JUN,1989,2,2
EXO,EXODUS  ,unknown ,7,JAN,07/01/1990,immigrant,unknown  ,Male    ,1990,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
UBA,UBANI   ,Udi     ,23,JAN,23/01/1990,Lodge    ,unknown  ,Female  ,1990,UDI,unknown, ------,25/07/1989,25,JUL,1989,3,unknown
SOD,SODA    ,Safi    ,3,FEB,03/02/1990,Nyayo's  ,unknown  ,Male    ,1990,SAF,unknown, ------,14/08/1989,14,AUG,1989,1,unknown
VIN,VINYL   ,Vixen   ,7,FEB,07/02/1990,Dotty's  ,unknown  ,Female  ,1990,VIX,GIZ,Giza    ,07/08/1989,7,AUG,1989,1,1
JAM,JAMBO   ,Juu     ,4,MAR,04/03/1990,Lodge    ,unknown  ,Male    ,1990,JUU,unknown, ------,09/09/1989,9,SEP,1989,3,unknown
ORY,ORYX    ,Oreo    ,11,MAR,11/03/1990,Dotty's  ,unknown  ,Male    ,1990,ORE,GIZ,Giza    ,15/09/1989,15,SEP,1989,1,1
VUN,VUNJA   ,Voi     ,22,MAR,22/03/1990,Proton's ,unknown  ,Male    ,1990,VOI,unknown, ------,04/10/1989,4,OCT,1989,1,unknown
LEW,LEWIS   ,Lamu    ,11,APR,11/04/1990,Hook's   ,unknown  ,Male    ,1990,LAM,DIS,Disco   ,04/11/1989,4,NOV,1989,2,2
OCH,OCHRE   ,Omo     ,17,APR,17/04/1990,Dotty's  ,unknown  ,Female  ,1990,OMO,TYC,Tycho   ,19/10/1989,19,OCT,1989,1,1
BOG,BOGA    ,Binti   ,29,APR,29/04/1990,Lodge    ,unknown  ,Female  ,1990,BIN,unknown, ------,02/11/1989,2,NOV,1989,3,unknown
MIT,MITO    ,Mwezi   ,17,MAY,17/05/1990,Lodge    ,unknown  ,Male    ,1990,MWE,unknown, ------,21/11/1989,21,NOV,1989,3,unknown
IDI,IDI     ,unknown ,27,MAY,27/05/1990,immigrant,unknown  ,Male    ,1990,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MAM,MAMBO   ,Mimi    ,13,JUN,13/06/1990,Lodge    ,unknown  ,Male    ,1990,MIM,unknown, ------,11/12/1989,11,DEC,1989,3,unknown
PAR,PARROT  ,Pichka  ,25,JUN,25/06/1990,Proton's ,unknown  ,Female  ,1990,PIC,unknown, ------,01/01/1990,1,JAN,1990,1,unknown
UGA,UGALI   ,Umbo    ,28,JUN,28/06/1990,Lodge    ,unknown  ,Male    ,1990,UMB,unknown, ------,30/12/1989,30,DEC,1989,3,unknown
WET,WETU    ,Wema    ,9,JUL,09/07/1990,Hook's   ,unknown  ,Male    ,1990,WEM,unknown, ------,08/01/1990,8,JAN,1990,2,unknown
LAI,LAILO   ,Lona    ,3,AUG,03/08/1990,Hook's   ,unknown  ,Female  ,1990,LON,HNS,Hans    ,20/02/1990,20,FEB,1990,2,2
LEP,LEPUS   ,Labda   ,3,AUG,03/08/1990,Hook's   ,unknown  ,Female  ,1990,LAB,unknown, ------,26/02/1990,26,FEB,1990,2,unknown
RAT,RATEL   ,Rembo   ,7,AUG,07/08/1990,Lodge    ,unknown  ,Male    ,1990,REM,unknown, ------,09/02/1990,9,FEB,1990,3,unknown
PON,PONY    ,Proton  ,16,AUG,16/08/1990,Proton's ,unknown  ,Female  ,1990,PRO,unknown, ------,18/02/1990,16,FEB,1990,1,unknown
KUD,KUDU    ,Kupita  ,18,AUG,18/08/1990,Hook's   ,unknown  ,Female  ,1990,KPM,unknown, ------,18/02/1990,18,FEB,1990,2,unknown
NEU,NEUTRON ,Nix     ,23,AUG,23/08/1990,Hook's   ,unknown  ,Male    ,1990,NIX,unknown, ------,28/02/1990,28,FEB,1990,2,unknown
NUM,NUMBNUTS,unknown ,28,AUG,28/08/1990,immigrant,unknown  ,Male    ,1990,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
DAI,DAISY   ,Dazi    ,29,AUG,29/08/1990,Lodge    ,unknown  ,Female  ,1990,DAZ,unknown, ------,05/03/1990,5,MAR,1990,3,unknown
BAM,BAMBA   ,Betty   ,29,AUG,29/08/1990,Lodge    ,unknown  ,Female  ,1990,BET,unknown, ------,06/03/1990,6,MAR,1990,3,unknown
JEN,JENNY   ,Jeri    ,17,SEP,17/09/1990,Lodge    ,unknown  ,Female  ,1990,JER,unknown, ------,21/03/1990,21,MAR,1990,3,unknown
WEL,WELLA   ,Waka    ,17,SEP,17/09/1990,Hook's   ,unknown  ,Female  ,1990,WAK,unknown, ------,26/03/1990,26,MAR,1990,2,unknown
POW,POWELL  ,Prudy   ,20,OCT,20/10/1990,Hook's   ,unknown  ,Male    ,1990,PRU,DIS,Disco   ,09/05/1990,9,MAY,1990,2,2
LEV,LEVY    ,Linda   ,28,OCT,28/10/1990,Hook's   ,unknown  ,Female  ,1990,LIN,unknown, ------,14/05/1990,14,MAY,1990,2,unknown
CAT,CATE    ,Scion   ,1,NOV,01/11/1990,Proton's ,unknown  ,Female  ,1990,SCI,unknown, ------,04/05/1990,4,MAY,1990,1.3,unknown
LAS,LASSOI  ,Lele    ,7,NOV,07/11/1990,Hook's   ,unknown  ,Female  ,1990,LEL,NEL,Nelson  ,17/05/1990,17,MAY,1990,2,2
ZAP,ZAP     ,unknown ,9,NOV,09/11/1990,immigrant,unknown  ,Male    ,1990,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
NDE,NDEGE   ,Nyota   ,19,NOV,19/11/1990,Hook's   ,unknown  ,Female  ,1990,NYO,unknown, ------,28/05/1990,28,MAY,1990,2,unknown
GYP,GYPSY   ,unknown ,27,NOV,27/11/1990,immigrant,unknown  ,Male    ,1990,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
SEA,SEAN    ,Sana    ,1,DEC,01/12/1990,Nyayo's  ,unknown  ,Male    ,1990,SAN,unknown, ------,02/06/1990,2,JUN,1990,1.1,unknown
COL,COLIN   ,Scherzo ,1,DEC,01/12/1990,Nyayo's  ,unknown  ,Male    ,1990,SCH,unknown, ------,15/06/1990,15,JUN,1990,1.1,unknown
VIM,VIM     ,Vera    ,30,DEC,30/12/1990,Proton's ,unknown  ,Male    ,1990,VER,unknown, ------,28/06/1990,28,JUN,1990,1.3,unknown
NAN,NANDI   ,Nipo    ,23,JAN,23/01/1991,Hook's   ,unknown  ,Female  ,1991,NIP,unknown, ------,07/08/1990,7,AUG,1990,2,unknown
